2024-09-15 18:51:44: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:44: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:44: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:44: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:45: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:51:46: Detected class: stop sign, Confidence: 0.96, Check: 2
